word,sentiment,category
deviant,vices,concreteness
diehard,vices,concreteness
divisional,vices,concreteness
dodgy,vices,concreteness
draconian,vices,concreteness
easiest,vices,concreteness
effective,vices,concreteness
enjoyable,vices,concreteness
entertaining,vices,concreteness
enviable,vices,concreteness
errant,vices,concreteness
evident,vices,concreteness
exacting,vices,concreteness
farthest,vices,concreteness
fatalistic,vices,concreteness
forgettable,vices,concreteness
fortunate,vices,concreteness
free,vices,concreteness
funky,vices,concreteness
genial,vices,concreteness
goody,vices,concreteness
gossipy,vices,concreteness
gravelly,vices,concreteness
harmonious,vices,concreteness
heartbreaking,vices,concreteness
impervious,vices,concreteness
impromptu,vices,concreteness
inacceptable,vices,concreteness
incredulous,vices,concreteness
indentured,vices,concreteness
independent,vices,concreteness
inductive,vices,concreteness
ineligible,vices,concreteness
informational,vices,concreteness
interscholastic,vices,concreteness
irresponsible,vices,concreteness
isotopic,vices,concreteness
kindhearted,vices,concreteness
lascivious,vices,concreteness
legendary,vices,concreteness
liable,vices,concreteness
majestic,vices,concreteness
mannerly,vices,concreteness
marital,vices,concreteness
marvelous,vices,concreteness
mental,vices,concreteness
miscellaneous,vices,concreteness
multidimensional,vices,concreteness
multifocal,vices,concreteness
mystified,vices,concreteness
mythological,vices,concreteness
naughty,vices,concreteness
nondenominational,vices,concreteness
nonpartisan,vices,concreteness
obsessed,vices,concreteness
operatic,vices,concreteness
opportune,vices,concreteness
opulent,vices,concreteness
other,vices,concreteness
outlandish,vices,concreteness
outlying,vices,concreteness
painstaking,vices,concreteness
participatory,vices,concreteness
prejudiced,vices,concreteness
prewar,vices,concreteness
prissy,vices,concreteness
puzzled,vices,concreteness
qualitative,vices,concreteness
queer,vices,concreteness
reactionary,vices,concreteness
recessive,vices,concreteness
refined,vices,concreteness
restful,vices,concreteness
roguish,vices,concreteness
salient,vices,concreteness
scornful,vices,concreteness
shrewish,vices,concreteness
snide,vices,concreteness
supernatural,vices,concreteness
symptomatic,vices,concreteness
talented,vices,concreteness
terrible,vices,concreteness
tolerable,vices,concreteness
tricky,vices,concreteness
troublesome,vices,concreteness
ubiquitous,vices,concreteness
unalienable,vices,concreteness
unattractive,vices,concreteness
undercharged,vices,concreteness
unenforceable,vices,concreteness
unequivocal,vices,concreteness
unforced,vices,concreteness
ungainly,vices,concreteness
ungentlemanly,vices,concreteness
unhappy,vices,concreteness
unindicted,vices,concreteness
universalist,vices,concreteness
unrelenting,vices,concreteness
unremarked,vices,concreteness
unrestricted,vices,concreteness
unrighteous,vices,concreteness
unschooled,vices,concreteness
unstructured,vices,concreteness
unsupported,vices,concreteness
untested,vices,concreteness
untiring,vices,concreteness
unwatched,vices,concreteness
unwinnable,vices,concreteness
upstanding,vices,concreteness
versatile,vices,concreteness
vicious,vices,concreteness
vivid,vices,concreteness
witching,vices,concreteness
ageless,vices,concreteness
anonymous,vices,concreteness
appalling,vices,concreteness
approximate,vices,concreteness
casual,vices,concreteness
cheeky,vices,concreteness
commemorative,vices,concreteness
conscious,vices,concreteness
corrupt,vices,concreteness
displeased,vices,concreteness
doable,vices,concreteness
eminent,vices,concreteness
entire,vices,concreteness
expressive,vices,concreteness
familiar,vices,concreteness
forthcoming,vices,concreteness
genuine,vices,concreteness
happiest,vices,concreteness
implantable,vices,concreteness
incompetent,vices,concreteness
indiscrete,vices,concreteness
integral,vices,concreteness
interchangeable,vices,concreteness
investigative,vices,concreteness
manly,vices,concreteness
microeconomic,vices,concreteness
nonreligious,vices,concreteness
obsessive,vices,concreteness
prohibitive,vices,concreteness
rewarding,vices,concreteness
situational,vices,concreteness
sly,vices,concreteness
sociable,vices,concreteness
somber,vices,concreteness
substantial,vices,concreteness
superior,vices,concreteness
tentative,vices,concreteness
unmentionable,vices,concreteness
unpredictable,vices,concreteness
unread,vices,concreteness
welcoming,vices,concreteness
whacky,vices,concreteness
wretched,vices,concreteness
absentminded,vices,concreteness
adoptive,vices,concreteness
agonizing,vices,concreteness
anecdotal,vices,concreteness
anticlimactic,vices,concreteness
appropriate,vices,concreteness
attempted,vices,concreteness
autonomous,vices,concreteness
aware,vices,concreteness
awkward,vices,concreteness
batty,vices,concreteness
bereaved,vices,concreteness
bipartisan,vices,concreteness
bleary,vices,concreteness
boundless,vices,concreteness
braver,vices,concreteness
brutal,vices,concreteness
cautionary,vices,concreteness
civilizing,vices,concreteness
classic,vices,concreteness
claustrophobic,vices,concreteness
codependent,vices,concreteness
coherent,vices,concreteness
colloquial,vices,concreteness
communicational,vices,concreteness
conflicting,vices,concreteness
contractual,vices,concreteness
corroborative,vices,concreteness
courageous,vices,concreteness
criminological,vices,concreteness
damn,vices,concreteness
deathly,vices,concreteness
delusionary,vices,concreteness
detestable,vices,concreteness
disciplinary,vices,concreteness
discontented,vices,concreteness
disreputable,vices,concreteness
dissimilar,vices,concreteness
distributable,vices,concreteness
divining,vices,concreteness
dreamless,vices,concreteness
dualistic,vices,concreteness
embarrassed,vices,concreteness
emotional,vices,concreteness
encouraging,vices,concreteness
enraptured,vices,concreteness
evenhanded,vices,concreteness
evolutional,vices,concreteness
exalted,vices,concreteness
excusable,vices,concreteness
existing,vices,concreteness
expedient,vices,concreteness
expeditious,vices,concreteness
exploitable,vices,concreteness
fearsome,vices,concreteness
feisty,vices,concreteness
foremost,vices,concreteness
formulary,vices,concreteness
freaky,vices,concreteness
ghastly,vices,concreteness
habitual,vices,concreteness
herculean,vices,concreteness
hereditary,vices,concreteness
highhanded,vices,concreteness
homing,vices,concreteness
hyper,vices,concreteness
hyperkinetic,vices,concreteness
hypersensitive,vices,concreteness
icky,vices,concreteness
immortal,vices,concreteness
implicit,vices,concreteness
impure,vices,concreteness
inauthentic,vices,concreteness
indecisive,vices,concreteness
indelible,vices,concreteness
industrious,vices,concreteness
inefficient,vices,concreteness
inelegant,vices,concreteness
insurable,vices,concreteness
interruptive,vices,concreteness
irresistible,vices,concreteness
jurisdictional,vices,concreteness
kingly,vices,concreteness
laborious,vices,concreteness
lamentable,vices,concreteness
lighthearted,vices,concreteness
masochistic,vices,concreteness
melancholy,vices,concreteness
minimal,vices,concreteness
mythical,vices,concreteness
naturalistic,vices,concreteness
nightmarish,vices,concreteness
noncompetitive,vices,concreteness
nonlethal,vices,concreteness
notable,vices,concreteness
obscure,vices,concreteness
optimistic,vices,concreteness
ornery,vices,concreteness
overanxious,vices,concreteness
overenthusiastic,vices,concreteness
paradoxical,vices,concreteness
permissive,vices,concreteness
pesky,vices,concreteness
pitiless,vices,concreteness
pivotal,vices,concreteness
placid,vices,concreteness
precious,vices,concreteness
preparatory,vices,concreteness
primordial,vices,concreteness
principled,vices,concreteness
psychoanalytic,vices,concreteness
random,vices,concreteness
recessionary,vices,concreteness
redundant,vices,concreteness
remorseful,vices,concreteness
reproachful,vices,concreteness
reproducible,vices,concreteness
resonant,vices,concreteness
resourceful,vices,concreteness
restorative,vices,concreteness
stereotypical,vices,concreteness
stingy,vices,concreteness
subsiding,vices,concreteness
substantive,vices,concreteness
suggestive,vices,concreteness
supreme,vices,concreteness
systematic,vices,concreteness
toxicological,vices,concreteness
tragic,vices,concreteness
triumphant,vices,concreteness
unaccomplished,vices,concreteness
unapproved,vices,concreteness
unassigned,vices,concreteness
unbearable,vices,concreteness
undisciplined,vices,concreteness
unidentifiable,vices,concreteness
unimaginative,vices,concreteness
uninformed,vices,concreteness
unlicensed,vices,concreteness
unmarketable,vices,concreteness
unmitigated,vices,concreteness
unpracticed,vices,concreteness
unprompted,vices,concreteness
unranked,vices,concreteness
unrequited,vices,concreteness
unsocial,vices,concreteness
unsolved,vices,concreteness
unsportsmanlike,vices,concreteness
unsure,vices,concreteness
untimely,vices,concreteness
untitled,vices,concreteness
untrustworthy,vices,concreteness
unutterable,vices,concreteness
unwanted,vices,concreteness
unwelcome,vices,concreteness
usable,vices,concreteness
vulnerable,vices,concreteness
wacky,vices,concreteness
worthwhile,vices,concreteness
worthy,vices,concreteness
zealous,vices,concreteness
zestful,vices,concreteness
adaptive,vices,concreteness
adequate,vices,concreteness
apprehensive,vices,concreteness
biblical,vices,concreteness
bloodcurdling,vices,concreteness
bourgeois,vices,concreteness
clueless,vices,concreteness
courteous,vices,concreteness
debilitating,vices,concreteness
different,vices,concreteness
evasive,vices,concreteness
fake,vices,concreteness
fresh,vices,concreteness
ghostly,vices,concreteness
inhumanly,vices,concreteness
irrevocable,vices,concreteness
lovable,vices,concreteness
miserable,vices,concreteness
moderate,vices,concreteness
negotiable,vices,concreteness
nonpermanent,vices,concreteness
pathetic,vices,concreteness
pathologic,vices,concreteness
pretentious,vices,concreteness
regulatory,vices,concreteness
sexless,vices,concreteness
sneaky,vices,concreteness
spunky,vices,concreteness
subdued,vices,concreteness
subsonic,vices,concreteness
sustained,vices,concreteness
taxable,vices,concreteness
technical,vices,concreteness
tedious,vices,concreteness
uncomplicated,vices,concreteness
undaunted,vices,concreteness
undignified,vices,concreteness
unidentified,vices,concreteness
unimpressive,vices,concreteness
unqualified,vices,concreteness
